# Program:featureCounts v2.1.1; Command:"featureCounts" "-p" "--countReadPairs" "-t" "transcript" "-g" "transcript_id" "-a" "references/GCF_001617525.2.gtf" "-o" "results/counts.txt" "results/SRR5578735.bam" "results/SRR5578736.bam" "results/SRR5578737.bam" "results/SRR5578738.bam" "results/SRR5578739.bam" "results/SRR5578740.bam" 
Geneid	results/SRR5578735.bam	results/SRR5578736.bam	results/SRR5578737.bam	results/SRR5578738.bam	results/SRR5578739.bam	results/SRR5578740.bam
gene-A1F92_RS00005	2325	2465	2455	90	85	114
gene-A1F92_RS00010	2478	2830	2818	372	330	340
gene-A1F92_RS00015	692	652	704	405	292	295
gene-A1F92_RS00020	1856	1807	1969	295	218	280
gene-A1F92_RS00025	4163	4375	4368	1118	858	895
gene-A1F92_RS00030	9116	9858	9924	2705	2431	2754
gene-A1F92_RS00035	12228	13715	13179	2755	2592	3121
gene-A1F92_RS00040	12733	13779	12851	3524	3365	3471
gene-A1F92_RS00045	9654	9840	9690	2417	2227	2819
gene-A1F92_RS00050	2734	2899	3001	330	281	396
gene-A1F92_RS00055	857	964	1037	179	137	188
gene-A1F92_RS00060	2924	3157	3282	678	566	671
gene-A1F92_RS00065	254	283	246	27	25	34
gene-A1F92_RS00070	173	213	233	21	19	15
gene-A1F92_RS00075	585	607	594	106	124	165
gene-A1F92_RS16140	16	8	15	15	4	4
gene-A1F92_RS00080	88	78	108	77	68	79
gene-A1F92_RS00090	6	4	2	0	0	0
gene-A1F92_RS00095	8	14	9	8	8	3
gene-A1F92_RS00100	20	20	27	7	5	10
gene-A1F92_RS00105	45	50	39	12	10	12
gene-A1F92_RS00110	100	115	104	37	26	46
gene-A1F92_RS00115	183	182	191	71	51	62
gene-A1F92_RS00120	352	445	467	1078	801	1016
gene-A1F92_RS00125	87	72	91	160	140	149
gene-A1F92_RS00130	415	442	513	245	200	171
gene-A1F92_RS00135	545	545	608	241	212	241
gene-A1F92_RS00140	1712	1599	1512	79	38	68
gene-A1F92_RS00145	474	433	389	23	23	34
rna-A1F92_RS00150	2	2	0	0	1	0
gene-A1F92_RS00155	756	736	754	207	110	153
gene-A1F92_RS00160	1315	1338	1380	227	118	188
gene-A1F92_RS00165	1021	1218	1210	121	116	134
gene-A1F92_RS00170	999	1106	1143	175	142	191
gene-A1F92_RS00175	991	1059	971	117	69	93
gene-A1F92_RS00180	2045	2076	2194	477	412	513
gene-A1F92_RS00185	122	138	143	13	3	10
gene-A1F92_RS00190	127	149	152	1	5	6
gene-A1F92_RS00195	176	192	203	9	6	7
gene-A1F92_RS00205	368	372	358	174	123	142
gene-A1F92_RS00210	37	65	84	2	1	5
gene-A1F92_RS00215	181	168	185	39	32	32
gene-A1F92_RS00220	688	753	654	9	4	6
gene-A1F92_RS00225	171	148	163	11	7	14
gene-A1F92_RS00230	20	23	23	5	6	2
gene-A1F92_RS16145	58	47	37	102	101	107
gene-A1F92_RS16150	35	33	56	111	121	144
gene-A1F92_RS00240	168	183	192	203	155	138
gene-A1F92_RS00245	39	41	51	100	85	82
gene-A1F92_RS00250	5	4	4	7	5	8
gene-A1F92_RS00255	43	61	52	20	15	14
gene-A1F92_RS00260	54	60	59	29	29	30
gene-A1F92_RS00265	37	31	32	61	69	58
gene-A1F92_RS00275	882	784	891	487	430	439
gene-A1F92_RS00280	37	34	40	118	85	98
gene-A1F92_RS00285	264	246	258	104	84	78
gene-A1F92_RS00290	43	45	51	25	20	23
gene-A1F92_RS00295	213	240	221	19	17	9
gene-A1F92_RS00300	48	80	63	8	5	1
gene-A1F92_RS00305	293	343	306	26	20	32
gene-A1F92_RS00310	105	108	110	92	63	71
gene-A1F92_RS00315	12	12	14	1	0	5
gene-A1F92_RS00320	299	342	337	48	32	49
gene-A1F92_RS00325	56	60	79	4	11	8
gene-A1F92_RS00330	75	78	89	7	8	4
gene-A1F92_RS00335	156	157	182	15	14	14
gene-A1F92_RS00340	132	142	129	52	58	58
gene-A1F92_RS00345	179	185	175	15	16	23
gene-A1F92_RS00350	94	122	153	9	10	8
gene-A1F92_RS00355	132	121	164	103	122	119
gene-A1F92_RS00360	259	285	269	17	19	31
gene-A1F92_RS15945	45	36	18	7	3	3
gene-A1F92_RS00375	104	111	139	30	16	26
gene-A1F92_RS00380	205	228	238	11	10	23
gene-A1F92_RS00385	361	321	340	188	143	163
gene-A1F92_RS00390	130	134	158	48	28	37
gene-A1F92_RS00395	39	35	36	3	9	11
gene-A1F92_RS00400	11	5	18	2	1	0
gene-A1F92_RS00405	58	47	40	8	5	11
gene-A1F92_RS00410	1497	1449	1413	1031	1025	1038
gene-A1F92_RS00415	699	838	897	18	14	36
gene-A1F92_RS00420	112	110	129	3	2	5
gene-A1F92_RS00425	172	201	220	7	5	5
gene-A1F92_RS00430	175	191	181	5	5	9
gene-A1F92_RS00435	40	36	40	0	5	2
gene-A1F92_RS00440	19	13	20	1	0	0
gene-A1F92_RS00445	19	19	12	1	1	2
gene-A1F92_RS00450	14	11	12	1	0	1
gene-A1F92_RS00455	14	17	22	0	1	1
gene-A1F92_RS00460	73	85	85	19	18	21
gene-A1F92_RS00465	450	489	492	34	39	38
gene-A1F92_RS00470	54	64	59	93	78	84
gene-A1F92_RS00475	116	133	165	168	126	158
gene-A1F92_RS00480	73	98	94	87	93	105
gene-A1F92_RS00485	170	189	191	204	181	175
gene-A1F92_RS00490	278	282	313	136	115	144
gene-A1F92_RS00495	441	469	508	883	676	759
gene-A1F92_RS00500	217	223	200	219	163	183
gene-A1F92_RS00505	2097	2136	2144	30	17	45
gene-A1F92_RS00510	291	258	245	176	177	162
gene-A1F92_RS00515	266	287	337	360	302	330
