"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene.y","product"
"A1F92_RS00005",683.260732909493,-2.59314482888699,0.123191713255111,4.39835423570622e-99,5.900649253876e-98,"dnaA","chromosomal replication initiator protein DnaA"
"A1F92_RS00010",1006.61213962814,-0.907865648510878,0.092689062587218,7.43152196114325e-23,2.68418258246887e-22,"dnaN","DNA polymerase III subunit beta"
"A1F92_RS00015",497.13443468146,0.985176165455083,0.13485560895812,1.64600279476905e-13,4.35607400596865e-13,"yaaA","S4 domain-containing protein YaaA"
"A1F92_RS00020",720.258208941426,-0.780488800433158,0.102379787092184,1.79573513195969e-14,4.97762359028898e-14,"recF","DNA replication/repair protein RecF"
"A1F92_RS00050",1034.58759981075,-1.04916830847709,0.10287613156634,1.13714974436877e-24,4.30284134041372e-24,NA,"DHH family phosphoesterase"
"A1F92_RS00065",92.1687413589686,-1.10813071060249,0.223514001295107,3.874445490359e-07,7.64284314107099e-07,NA,"MFS transporter"
"A1F92_RS00070",68.4809263081299,-1.38774741199197,0.272558250539394,1.45752151324965e-07,2.95026725640801e-07,"proB","glutamate 5-kinase"
"A1F92_RS00080",97.1455131675542,1.7277231971836,0.206168714619693,1.40867386078292e-17,4.35676676104418e-17,NA,"peptide ABC transporter substrate-binding protein"
"A1F92_RS00120",1066.11476207316,3.23402293545328,0.111106889120241,4.34296647993166e-187,1.29412049243348e-185,NA,"Cof-type HAD-IIB family hydrolase"
"A1F92_RS00125",170.72557456686,2.87515125468841,0.173043318391867,6.92851133302821e-63,5.54818000544042e-62,"pgmB","beta-phosphoglucomutase"
"A1F92_RS00130",317.445452775646,0.883051779473836,0.158273634869743,1.55735069533362e-08,3.29435481558968e-08,NA,"glycoside hydrolase family 65 protein"
"A1F92_RS00135",369.798615102927,0.749157403449433,0.111849924393698,1.5381871469738e-11,3.73869958311514e-11,NA,"pyridoxamine 5'-phosphate oxidase family protein"
"A1F92_RS00140",452.358009832006,-2.65425077533001,0.181144949808432,2.76802774521911e-49,1.81355559882326e-48,NA,"cold-shock protein"
"A1F92_RS00145",132.037295154433,-1.93980439636035,0.236856063041006,6.97497930585448e-17,2.11708725453898e-16,NA,"hypothetical protein"
"A1F92_RS00160",502.34392015851,-0.873533802228991,0.156058724457938,1.45050242562083e-08,3.0767330711834e-08,"walK","cell wall metabolism sensor histidine kinase WalK"
